iter	RMSE
0	1.066376654
1	1.06138302
2	1.05714022
3	1.052136409
4	1.046640408
5	1.042856866
6	1.037923179
7	1.033067578
8	1.028376965
9	1.024346921
10	1.018986995
11	1.014485831
12	1.008686514
13	1.004552414
14	1.000104482
15	0.9950990854
16	0.990756292
17	0.9860296741
18	0.9827544374
19	0.9787544369
20	0.9742633501
21	0.9696905481
22	0.964545652
23	0.9606531557
24	0.9555671103
25	0.9510650538
26	0.9466585514
27	0.9412476188
28	0.9364373375
29	0.9356641246
30	0.932451254
31	0.9281705219
32	0.9240440778
33	0.9189465399
34	0.9148354385
35	0.9123947632
36	0.9080485087
37	0.9040466989
38	0.8997069781
39	0.8958250273
40	0.892325521
41	0.8876750998
42	0.8832680431
43	0.879368978
44	0.8771265293
45	0.8727521861
46	0.868722572
47	0.8642540302
48	0.8604213777
49	0.856363045
50	0.8526891678
51	0.8495557971
52	0.8459282577
53	0.8430510765
54	0.8391431675
55	0.8366089556
56	0.8322703208
57	0.8287448851
58	0.8257386903
59	0.821960358
60	0.8188861252
61	0.815980547
62	0.8138455181
63	0.8094948015
64	0.8053241394
65	0.8021075352
66	0.7992000411
67	0.7970780023
68	0.7935016666
69	0.7904415114
70	0.7868554336
71	0.7842516205
72	0.7804918825
73	0.7779800137
74	0.7746135902
75	0.7714713796
76	0.7680780591
77	0.7648755319
78	0.7631929635
79	0.7601297858
80	0.7570379491
81	0.75396358
82	0.7497279382
83	0.7468420285
84	0.7433965515
85	0.7405002635
86	0.7373899345
87	0.7352171483
88	0.732113157
89	0.7289729414
90	0.7263007248
91	0.7239545866
92	0.7206232084
93	0.7173231391
94	0.714391939
95	0.7111471197
96	0.7078685744
97	0.7045977413
98	0.7022593294
99	0.6995298702
100	0.6974685694
101	0.694626115
102	0.6916034884
103	0.6884796719
104	0.6859575751
105	0.6836225203
106	0.6820305721
107	0.6789504075
108	0.6760497472
109	0.6730314229
110	0.670021991
111	0.6678517989
112	0.665234473
113	0.6623372448
114	0.6600415217
115	0.657000848
116	0.6544723953
117	0.6518918718
118	0.6497373718
119	0.6475615316
120	0.644504261
121	0.6419300498
122	0.6394813727
123	0.6365134453
124	0.6346733924
125	0.6317841585
126	0.6292121377
127	0.6262748073
128	0.6233928318
129	0.62120223
130	0.6193960503
131	0.6171400065
132	0.6154108292
133	0.6134532374
134	0.6110550382
135	0.6090299426
136	0.6067481866
137	0.6039911871
138	0.6023289126
139	0.5999309214
140	0.5975169646
141	0.5954020577
