iter	RMSE
142	0.5931764028
143	0.5905847776
144	0.5883307127
145	0.5863577051
146	0.5842292981
147	0.5817126879
148	0.5798866337
149	0.5772881854
150	0.575548772
151	0.5742871243
152	0.5726351369
153	0.5708099631
154	0.5684929635
155	0.5661712567
156	0.5642090599
157	0.5621028159
158	0.5603112196
159	0.5582327468
160	0.5562088546
161	0.5543962526
162	0.5520975279
163	0.5511812201
164	0.5491602374
165	0.5468954992
166	0.5445448718
167	0.5425685471
168	0.5405547677
169	0.5384962273
170	0.5360377736
171	0.5344793011
172	0.5323903269
173	0.5306231604
174	0.5286645448
175	0.5271477183
176	0.5267436724
177	0.5246134955
178	0.5227867217
179	0.5206219003
180	0.5181438386
181	0.5161740895
182	0.5139439975
183	0.5126187488
184	0.5106145927
185	0.5084943474
186	0.5070815137
187	0.5051913254
188	0.5033148471
189	0.5013270314
190	0.4993516915
191	0.4979059253
192	0.4962489884
193	0.4951176187
194	0.4931566988
195	0.4918303785
196	0.4897928874
197	0.4881722855
198	0.4871424197
199	0.4857239733
200	0.4840565878
201	0.4822516864
202	0.4818239487
203	0.4802891671
204	0.4783716096
205	0.4766460085
206	0.4747903064
207	0.4731531264
208	0.4721619844
209	0.4705106306
210	0.4694399429
211	0.467743815
212	0.4665621247
213	0.4654077654
214	0.4638045052
215	0.461911854
216	0.4601511847
217	0.4584758636
218	0.4570493767
219	0.4554415107
220	0.4543767832
221	0.4528653185
222	0.4512112264
223	0.4502880414
224	0.4490533009
225	0.4478532864
226	0.4468126897
227	0.445211459
228	0.4439671188
229	0.4427478726
230	0.4414380938
231	0.4398161419
232	0.4385874692
233	0.4369194965
234	0.4355845783
235	0.4339114874
236	0.4323992908
237	0.4311961638
238	0.4300173423
239	0.4288909214
240	0.4276317222
241	0.4261648239
242	0.4244062763
243	0.4227641031
244	0.4217716449
245	0.4203483632
246	0.4191526245
247	0.4178169825
248	0.4162846582
249	0.4149070785
250	0.4141025354
251	0.4129113498
252	0.4117906113
253	0.4104736576
254	0.408753137
255	0.407218394
256	0.4061255529
257	0.4048343308
258	0.403426978
259	0.4021186872
260	0.4008584828
261	0.3999729686
262	0.3990979545
263	0.3978535934
264	0.3964589954
265	0.3950278687
266	0.3941765551
267	0.3933869994
268	0.3922099292
269	0.3908442739
270	0.3896045409
271	0.3882156409
272	0.3871513324
273	0.3856688945
274	0.3844386012
275	0.3835356391
276	0.3825795124
277	0.3818464611
278	0.3805916188
279	0.3796115769
280	0.3783946523
281	0.3769681604
282	0.3763336174
283	0.3752575037
284	0.3740871976
285	0.3729190937
286	0.3718080863
287	0.3710896883
288	0.3701321301
289	0.3688580842
290	0.3675214576
291	0.3664229932
292	0.365737142
293	0.3648648989
294	0.3637257501
295	0.3627864077
296	0.361721865
297	0.361036776
298	0.3605482311
299	0.3596319036
300	0.3586466502
301	0.3576362279
302	0.3564761622
303	0.355334547
304	0.3545194807
305	0.3535876244
306	0.3526235956
307	0.3516317246
308	0.3507805819
309	0.3498430091
310	0.3491175878
311	0.348105165
312	0.347011168
313	0.3462980917
314	0.3456049357
315	0.3445416371
316	0.3437154677
317	0.3431790142
318	0.3422173277
319	0.3418444238
320	0.3412822005
321	0.3402848934
322	0.3391595726
323	0.3381113958
324	0.3376577894
325	0.3370588135
326	0.3362513773
327	0.3356795527
328	0.3351000644
329	0.3339721812
330	0.3328865571
331	0.3321475671
332	0.3312515443
333	0.3306775785
334	0.3299095615
335	0.3292292634
336	0.3282958733
337	0.3278464825
338	0.3269386546
339	0.3262305032
340	0.3254236459
341	0.3245564789
342	0.3237700022
343	0.3227978502
344	0.3220723636
345	0.3213270756
346	0.3203054015
347	0.3192801282
348	0.3185156013
349	0.3183346534
350	0.3176263451
351	0.3167757235
352	0.3160307219
353	0.3150634042
354	0.3141369514
355	0.3134107983
356	0.3126570349
357	0.3118671836
358	0.3111826087
359	0.3103253328
360	0.3095794833
361	0.3094939629
362	0.3088958902
363	0.3081173145
364	0.3074522013
365	0.306637783
366	0.3058513933
367	0.305154526
368	0.3045301907
369	0.3037926994
370	0.3028979895
371	0.3022225408
372	0.3014087497
373	0.300669305
374	0.3000842599
375	0.2993765839
376	0.2987038261
377	0.2981594977
378	0.2974079778
379	0.2967424139
380	0.2963310183
381	0.2959780931
382	0.2952059381
383	0.2944843625
384	0.2939551802
385	0.2932737779
386	0.2930354143
387	0.2924063457
388	0.2918363278
389	0.2913420364
390	0.2905977284
391	0.2898215696
392	0.2892079823
393	0.2884423475
394	0.2878113836
395	0.2871169735
396	0.2864631463
397	0.2858914487
398	0.2852205795
399	0.2849958365
400	0.2844091959
401	0.2838565131
402	0.2831411923
403	0.2825492368
404	0.2818386689
405	0.2815564339
406	0.2809865809
407	0.2804484477
408	0.2798468576
409	0.2792420403
410	0.2790959909
411	0.2785305393
412	0.2779172677
413	0.2772126273
414	0.2769611722
415	0.2765208862
416	0.275856944
417	0.2753375961
418	0.2750357969
419	0.274353661
420	0.2736657542
421	0.273363223
422	0.2728735463
423	0.2723148347
424	0.2718609348
425	0.2713891116
426	0.2709626822
427	0.2705041337
428	0.2701900461
429	0.2699679135
430	0.2693159421
431	0.2686765461
432	0.2681172704
433	0.2675672772
434	0.2670497625
435	0.2664914794
436	0.265864989
437	0.2653472288
438	0.2647902554
439	0.2643084777
440	0.2640640715
441	0.2634850213
442	0.2633322026
443	0.2627593583
444	0.262148883
445	0.2616555883
446	0.2611283129
447	0.2606008282
448	0.2601427013
449	0.2596051015
450	0.2590868039
451	0.2587461908
452	0.258493839
453	0.2581371579
454	0.2580704831
455	0.2574915635
456	0.2571841598
457	0.2566398847
458	0.2560455435
459	0.2554805722
460	0.2549815628
461	0.2544609577
462	0.2541480695
463	0.2539426252
464	0.2534179161
465	0.2531056849
466	0.2526157678
467	0.2521047961
468	0.2516214641
469	0.2510991425
470	0.2508066632
471	0.2503681395
472	0.2498941926
473	0.2493876916
474	0.2489018789
475	0.2484423875
476	0.248065861
477	0.2478257843
478	0.2475141437
479	0.2470689466
480	0.2467158487
481	0.2462961044
482	0.2458181517
483	0.2456922257
484	0.2451891541
485	0.2447839867
486	0.2443531315
487	0.2442168549
488	0.2438450895
489	0.2434068319
490	0.2429635727
491	0.2428406708
492	0.2425405273
493	0.2420636582
494	0.2416144562
495	0.2414057629
496	0.2410654286
497	0.2407985932
498	0.2404565747
499	0.240144489
