iter	Passed	Remaining
358	3594	1411
359	3595	1398
360	3595	1384
361	3595	1370
362	3598	1358
363	3648	1363
364	3648	1349
365	3695	1353
366	3701	1341
367	3749	1344
368	3752	1332
369	3758	1320
370	3769	1310
371	3790	1304
372	3814	1298
373	3817	1286
374	3818	1272
375	3818	1259
376	3841	1253
377	3842	1240
378	3904	1246
379	3908	1234
380	3908	1220
381	3909	1207
382	3916	1196
383	3986	1204
384	3987	1191
385	4067	1201
386	4068	1187
387	4075	1176
388	4076	1163
389	4077	1150
390	4082	1138
391	4090	1127
392	4092	1114
393	4168	1121
394	4216	1120
395	4244	1114
396	4298	1115
397	4298	1101
398	4300	1088
399	4300	1075
400	4300	1061
401	4301	1048
402	4351	1047
403	4412	1048
404	4475	1049
405	4475	1036
406	4478	1023
407	4479	1009
408	4480	996
409	4495	986
410	4495	973
411	4650	993
412	4651	979
413	4653	966
414	4653	953
415	4724	954
416	4728	941
417	4728	927
418	4729	914
419	4777	910
420	4784	897
421	4784	884
422	4784	871
423	4796	859
424	4807	848
425	4807	835
426	4808	822
427	4808	808
428	4809	795
429	4809	782
430	4815	770
431	4819	758
432	4867	753
433	4868	740
434	4917	734
435	4919	722
436	4969	716
437	5018	710
438	5068	704
439	5069	691
440	5069	678
441	5093	668
442	5093	655
443	5099	643
444	5100	630
445	5146	623
446	5147	610
447	5151	597
448	5151	585
449	5153	572
450	5154	560
451	5154	547
452	5157	535
453	5157	522
454	5157	510
455	5206	502
456	5207	489
457	5208	477
458	5209	465
459	5259	457
460	5315	449
461	5339	439
462	5339	426
463	5339	414
464	5346	402
465	5346	390
466	5394	381
467	5401	369
468	5450	360
469	5462	348
470	5462	336
471	5510	326
472	5511	314
473	5512	302
474	5561	292
475	5562	280
476	5613	270
477	5613	258
478	5616	246
479	5619	234
480	5630	222
481	5631	210
482	5680	199
483	5680	187
484	5736	177
485	5859	168
486	5862	156
487	5862	144
488	5883	132
489	5885	120
490	5885	107
491	5885	95
492	5900	83
493	5914	71
494	5975	60
495	5977	48
496	5992	36
497	5994	24
498	6023	12
499	6023	0
